Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index
2019-02-18,128.4707,401.7932,123.8471,15838.24,14.91,56.679,-0.08849,-0.28007,4.0,-0.4454,-0.19,0.95,119.36414022443297,180.81862770805355,112.00344772101232
2019-02-19,128.2469,401.4645,124.2284,15937.44,14.88,55.369,-0.07458,-0.27867,4.0,-0.4158,-0.19,0.95,119.38656150934277,180.83183019938062,111.98635349354733
2019-02-20,127.9058,397.9329,124.4002,16031.24,14.02,55.217,-0.07421,-0.27728,4.0,-0.4158,-0.19,0.95,119.41606586326382,181.07206700675928,111.9577626418274
2019-02-21,127.786,393.5566,123.7184,16000.86,14.46,60.149,-0.12591,-0.27589,4.0,-0.4025,-0.19,0.95,119.40490052703204,181.35129513743547,111.99078378768773
2019-02-22,127.7086,394.4659,123.6955,16013.01,13.51,56.579,-0.12528,-0.27451,4.0,-0.4025,-0.24,0.95,119.4109868591348,181.2447802393451,111.99285425419717
2019-02-25,127.2465,387.5993,122.6521,16057.03,14.85,57.713,-0.12055,-0.27314,4.0,-0.4408,-0.24,0.95,119.45737690125037,181.60038007516386,112.0989193540663
2019-02-26,127.1474,385.5545,122.5951,16067.91,15.17,56.231,-0.10445,-0.31471,4.0,-0.4913,-0.24,0.95,119.48103263364195,181.60912149785324,112.09503270809356
2019-02-27,126.0806,378.8202,122.0396,16074.3,14.7,62.001,-0.09038,-0.31314,4.0,-0.469,-0.24,0.95,119.52222952348195,182.02596808851047,112.10065113653582
2019-02-28,125.7112,377.4613,119.7597,15999.01,14.78,63.906,-0.07719,-0.30676,3.5,-0.4812,-0.24,0.95,119.54353992333665,182.26570750050473,112.26998000372036
2019-03-01,125.5026,374.2973,118.8662,16068.25,13.57,68.532,-0.14354,-0.29317,3.5,-0.6043,-0.24,0.95,119.5607433434855,182.59588337570767,112.40922627491851
2019-03-04,125.3888,375.903,118.7891,16038.13,14.63,65.715,-0.15421,-0.29171,3.5,-0.6044,-0.18,0.95,119.57095783742436,182.4491276420393,112.42145835869059
